Sexo,Años cumplidos,Estatura,Peso,Carrera,Semestre,Consumo de verduras en el desayuno/comida/cena,Actividad fisica en la semana,Obstaculos para realizar ejercicio,Lugares con comida balanceada
Hombre,23,151,69,Ingeniería industrial,Noveno semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,23,189,76,Ingeniería en Electrónica,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,182,63,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Hombre,20,182,57,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,22,167,63,Ingeniería en Diseño,Séptimo semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,20,186,74,Ingeniería en Mecatronica,Primer semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,154,74,Ingeniería en Electrónica,Tercer semestre,1 vez,Ningún día,Falta de motivación,No
Mujer,24,159,82,Ingeniería en Mecatronica,Tercer semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,195,78,Ingeniería en Electrónica,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,153,76,Ingeniería en Mecatronica,Quinto semestre,Todos los días,2-3 veces,Falta de motivación,Si
Mujer,20,197,56,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,19,193,58,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,193,71,Ingeniería en Electrónica,Séptimo semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,189,67,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,Todos los días,Falta de motivación,Si
Mujer,24,189,85,Ingeniería industrial,Noveno semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,23,192,56,Ingeniería en Mecatronica,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,154,84,Ingeniería industrial,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,22,165,65,Ingeniería industrial,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,192,84,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,182,67,Ingeniería industrial,Séptimo semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,172,61,Ingeniería industrial,Quinto semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,22,158,76,Ingeniería en Electrónica,Quinto semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,189,59,Ingeniería en Mecatronica,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,23,181,59,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,193,56,Ingeniería en Mecatronica,Quinto semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,181,80,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,19,189,75,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,152,73,Ingeniería en Diseño,Primer semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,19,187,59,Ingeniería en Diseño,Noveno semestre,1 vez,2-3 veces,Falta de motivación,No
Mujer,24,151,55,Ingeniería industrial,Tercer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,19,151,55,Ingeniería en Diseño,Quinto semestre,Todos los días,Ningún día,Falta de motivación,Si
Hombre,21,187,60,Ingeniería en Mecanica Automotriz,Primer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,153,83,Ingeniería en Electrónica,Quinto semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,21,168,63,Ingeniería industrial,Quinto semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,24,174,58,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,23,183,61,Ingeniería industrial,Primer semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,188,76,Ingeniería industrial,Tercer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,163,62,Ingeniería en Mecatronica,Quinto semestre,Todos los días,1 vez,Falta de motivación,Si
Mujer,21,179,61,Ingeniería en Diseño,Tercer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,169,61,Ingeniería en Diseño,Séptimo semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,23,190,75,Ingeniería industrial,Tercer semestre,1 vez,Todos los días,Falta de motivación,No
Mujer,23,163,65,Ingeniería industrial,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,159,61,Ingeniería en Electrónica,Tercer semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,22,182,63,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,1 vez,Falta de motivación,No
Hombre,21,171,63,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,154,82,Ingeniería en Electrónica,Tercer semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,195,56,Ingeniería industrial,Séptimo semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,22,160,64,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,22,165,55,Ingeniería en Diseño,Primer semestre,Todos los días,2-3 veces,Falta de motivación,Si
Mujer,23,192,69,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,186,85,Ingeniería industrial,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,178,60,Ingeniería en Diseño,Noveno semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,24,175,61,Ingeniería industrial,Tercer semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,24,156,59,Ingeniería industrial,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,178,75,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,22,170,67,Ingeniería en Electrónica,Quinto semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,161,79,Ingeniería industrial,Quinto semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,191,58,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,19,175,62,Ingeniería en Mecatronica,Noveno semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,21,187,59,Ingeniería en Electrónica,Tercer semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,24,157,70,Ingeniería en Diseño,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,177,60,Ingeniería en Mecanica Automotriz,Primer semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,191,57,Ingeniería industrial,Tercer semestre,Todos los días,1 vez,Falta de motivación,No
Mujer,23,150,67,Ingeniería en Diseño,Primer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,179,66,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,19,175,66,Ingeniería industrial,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,24,188,82,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,170,78,Ingeniería industrial,Primer semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,24,163,68,Ingeniería en Electrónica,Séptimo semestre,Todos los días,2-3 veces,Falta de motivación,Si
Hombre,24,151,75,Ingeniería en Diseño,Noveno semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,20,195,77,Ingeniería industrial,Noveno semestre,Todos los días,2-3 veces,Falta de motivación,No
Mujer,22,190,55,Ingeniería en Mecatronica,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,172,81,Ingeniería en Mecanica Automotriz,Primer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,182,66,Ingeniería industrial,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,164,75,Ingeniería en Electrónica,Noveno semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,189,57,Ingeniería industrial,Noveno semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,154,73,Ingeniería en Electrónica,Quinto semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,20,151,79,Ingeniería en Electrónica,Quinto semestre,Todos los días,Todos los días,Falta de motivación,No
Hombre,19,171,60,Ingeniería industrial,Quinto semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,21,171,65,Ingeniería en Diseño,Noveno semestre,1 vez,1 vez,Falta de motivación,No
Hombre,21,171,71,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,167,67,Ingeniería en Mecatronica,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,189,84,Ingeniería en Electrónica,Quinto semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,19,155,65,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,21,164,65,Ingeniería industrial,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,20,168,78,Ingeniería en Mecatronica,Primer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,168,85,Ingeniería industrial,Noveno semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,20,162,82,Ingeniería en Diseño,Tercer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,20,169,80,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Ningún día,Falta de motivación,No
Mujer,24,175,63,Ingeniería en Mecatronica,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,154,70,Ingeniería industrial,Quinto semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,23,191,72,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,24,181,61,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,23,182,76,Ingeniería en Electrónica,Noveno semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Hombre,23,187,76,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,22,153,83,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,2-3 veces,Falta de motivación,No
Hombre,23,164,73,Ingeniería en Diseño,Noveno semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,24,170,74,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,24,189,79,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,2-3 veces,Falta de motivación,No
Hombre,19,151,65,Ingeniería en Diseño,Séptimo semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,24,197,58,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,1 vez,Falta de motivación,No
Mujer,21,152,70,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,194,67,Ingeniería en Diseño,Noveno semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,24,159,59,Ingeniería industrial,Primer semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,22,166,75,Ingeniería en Diseño,Primer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,19,159,68,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,Ningún día,Falta de motivación,No
Mujer,19,180,62,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,23,174,72,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,151,63,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,174,82,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,24,179,81,Ingeniería en Mecanica Automotriz,Primer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,19,185,75,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Todos los días,Falta de motivación,No
Hombre,23,152,82,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Ningún día,Falta de motivación,Si
Hombre,23,161,55,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,158,58,Ingeniería industrial,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,21,188,56,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Todos los días,Falta de motivación,No
Mujer,19,178,72,Ingeniería en Mecatronica,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,21,181,56,Ingeniería en Electrónica,Primer semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,24,193,70,Ingeniería industrial,Quinto semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,184,80,Ingeniería en Electrónica,Quinto semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,24,169,60,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,1 vez,Falta de motivación,Si
Mujer,24,150,68,Ingeniería en Mecatronica,Tercer semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,20,172,59,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,23,189,66,Ingeniería en Electrónica,Quinto semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,23,174,65,Ingeniería en Mecatronica,Noveno semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,24,186,68,Ingeniería en Electrónica,Primer semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,20,173,85,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,Todos los días,Falta de motivación,No
Mujer,22,157,62,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,21,178,62,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,20,179,79,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,187,65,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,24,151,79,Ingeniería en Electrónica,Quinto semestre,Todos los días,2-3 veces,Falta de motivación,No
Mujer,21,158,63,Ingeniería en Diseño,Noveno semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,159,57,Ingeniería en Diseño,Noveno semestre,1 vez,Ningún día,Falta de motivación,No
Hombre,20,164,73,Ingeniería en Electrónica,Primer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,20,162,79,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,1 vez,Falta de motivación,Si
Hombre,20,151,81,Ingeniería en Mecatronica,Primer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,23,151,74,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,152,61,Ingeniería en Diseño,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,23,150,55,Ingeniería en Diseño,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,20,196,74,Ingeniería industrial,Quinto semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,21,197,70,Ingeniería en Mecatronica,Séptimo semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,165,80,Ingeniería en Electrónica,Quinto semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,21,154,55,Ingeniería industrial,Noveno semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,22,172,66,Ingeniería en Diseño,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,21,159,63,Ingeniería en Diseño,Noveno semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,21,187,67,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Mujer,22,172,69,Ingeniería en Diseño,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,23,197,83,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,1 vez,Falta de motivación,No
Mujer,19,185,79,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,177,68,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,Todos los días,Falta de motivación,Si
Mujer,20,195,68,Ingeniería en Electrónica,Tercer semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,21,164,56,Ingeniería industrial,Noveno semestre,1 vez,2-3 veces,Falta de motivación,Si
Hombre,22,153,84,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,22,165,80,Ingeniería en Mecanica Automotriz,Noveno semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,21,151,66,Ingeniería industrial,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,24,161,84,Ingeniería industrial,Quinto semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,24,166,60,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,180,62,Ingeniería en Mecanica Automotriz,Primer semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,188,84,Ingeniería en Mecatronica,Tercer semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,24,185,56,Ingeniería en Electrónica,Tercer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,23,166,61,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,19,170,62,Ingeniería en Diseño,Primer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,23,190,67,Ingeniería en Electrónica,Tercer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,19,188,77,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,165,58,Ingeniería en Diseño,Quinto semestre,2-3 veces,Todos los días,Falta de motivación,Si
Mujer,23,171,68,Ingeniería en Mecatronica,Noveno semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,181,71,Ingeniería en Electrónica,Primer semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,22,156,56,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,19,175,74,Ingeniería en Diseño,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,21,177,66,Ingeniería industrial,Quinto semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,22,198,79,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,Todos los días,Falta de motivación,Si
Mujer,21,183,73,Ingeniería en Mecanica Automotriz,Quinto semestre,Todos los días,Todos los días,Falta de motivación,No
Hombre,23,167,80,Ingeniería en Mecatronica,Noveno semestre,Todos los días,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,150,76,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,21,196,76,Ingeniería industrial,Tercer semestre,1 vez,Ningún día,Falta de motivación,Si
Hombre,24,193,69,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,21,182,84,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,150,75,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,19,155,84,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,23,186,82,Ingeniería en Electrónica,Noveno semestre,Todos los días,1 vez,Falta de motivación,Si
Mujer,19,192,83,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,22,169,76,Ingeniería en Mecanica Automotriz,Quinto semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,190,57,Ingeniería en Electrónica,Noveno semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,24,168,85,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,22,193,70,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,23,198,66,Licenciatura en Ciencias Empresariales,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,22,162,74,Ingeniería industrial,Primer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,171,73,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,20,154,61,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Todos los días,Falta de motivación,No
Hombre,23,189,69,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,Todos los días,Falta de motivación,No
Hombre,21,168,62,Ingeniería en Electrónica,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,21,151,60,Ingeniería industrial,Quinto semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,21,155,76,Ingeniería en Diseño,Primer semestre,Todos los días,Todos los días,Falta de motivación,No
Hombre,22,155,79,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,Todos los días,Falta de motivación,No
Hombre,24,183,58,Ingeniería industrial,Quinto semestre,1 vez,2-3 veces,Falta de motivación,No
Mujer,24,166,85,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,178,82,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,1 vez,Falta de motivación,Si
Hombre,23,161,71,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,19,152,64,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,19,188,85,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Hombre,19,162,81,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,No
